日期,入出境總人數_小計,桃園一期入境查驗,桃園一期出境查驗,桃園一期小計,桃園二期入境查驗,桃園二期出境查驗,桃園二期小計,桃園一_二期合計,高雄機場入境查驗,高雄機場出境查驗,高雄機場小計,基隆港入境查驗,基隆港出境查驗,基隆港小計,台中港入境查驗,台中港出境查驗,台中港小計,高雄港入境查驗,高雄港出境查驗,高雄港小計,花蓮港入境查驗,花蓮港出境查驗,花蓮港小計,蘇澳港入境查驗,蘇澳港出境查驗,蘇澳港小計,澎湖港入境查驗,澎湖港出境查驗,澎湖港小計,台南機場入境查驗,台南機場出境查驗,台南機場小計,安平港入境查驗,安平港出境查驗,安平港小計,松山機場入境查驗,松山機場出境查驗,松山機場小計,金門港_水頭入境查驗,金門港_水頭出境查驗,金門港_水頭小計,馬祖入境查驗,馬祖出境查驗,馬祖小計,花蓮機場入境查驗,花蓮機場出境查驗,花蓮機場小計,麥寮港入境查驗,麥寮港出境查驗,麥寮港小計,馬公機場入境查驗,馬公機場出境查驗,馬公機場小計,台中機場入境查驗,台中機場出境查驗,台中機場小計,和平港入境查驗,和平港出境查驗,和平港小計,金門機場入境查驗,金門機場出境查驗,金門機場小計,南竿機場入境查驗,南竿機場出境查驗,南竿機場小計,北竿機場入境查驗,北竿機場出境查驗,北竿機場小計,嘉義機場入境查驗,嘉義機場出境查驗,嘉義機場小計,台北港入境查驗,台北港出境查驗,台北港小計,東港入境查驗,東港出境查驗,東港小計,台東機場入境查驗,台東機場出境查驗,台東機場小計,北竿白沙港入境查驗,北竿白沙港出境查驗,北竿白沙港小計,布袋港入境查驗,布袋港出境查驗,布袋港小計,大園沙崙港入境查驗,大園沙崙港出境查驗,大園沙崙港小計,台東富岡港入境查驗,台東富岡港出境查驗,台東富岡港小計,馬公港入境查驗,馬公港出境查驗,馬公港小計,桃園竹圍港入境查驗,桃園竹圍港出境查驗,桃園竹圍港小計,金門港_料羅入境查驗,金門港_料羅出境查驗,金門港_料羅小計,後壁湖遊艇港入境查驗,後壁湖遊艇港出境查驗,後壁湖遊艇港小計,淡水第二漁港遊艇碼頭入境查驗,淡水第二漁港遊艇碼頭出境查驗,淡水第二漁港遊艇碼頭小計,屏東大鵬灣遊艇港入境查驗,屏東大鵬灣遊艇港出境查驗,屏東大鵬灣遊艇港小計,屏東機場入境查驗,屏東機場出境查驗,屏東機場小計,離岸式風力發電計畫入境查驗,離岸式風力發電計畫出境查驗,離岸式風力發電計畫小計,蘭嶼開元港入境查驗,蘭嶼開元港出境查驗,蘭嶼開元港小計,前鎮漁港入境查驗,前鎮漁港出境查驗,前鎮漁港小計,觀塘工業港入境查驗,觀塘工業港出境查驗,觀塘工業港小計
20251201,154624,31889,29280,61169,28180,27544,55724,116893,8732,8348,17080,2,1,3,9,9,18,27,289,316,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4502,4309,8811,2667,2710,5377,102,59,161,0,0,0,2,8,10,178,132,310,2794,2702,5496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,6,6,0,0,0,43,95,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20251202,144471,29467,26705,56172,26578,23978,50556,106728,8615,7705,16320,128,17,145,10,14,24,1963,1955,3918,0,0,0,0,0,0,0,0,0,0,2,2,1,1,2,4091,3842,7933,2655,2272,4927,82,67,149,31,20,51,8,6,14,0,0,0,2057,2076,4133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,0,7,7,0,0,0,72,36,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20251203,147354,27438,27434,54872,24966,24721,49687,104559,8048,8025,16073,4094,4095,8189,22,34,56,9,108,117,0,0,0,0,0,0,0,0,0,0,2,2,31,26,57,4621,4433,9054,2007,2105,4112,55,45,100,0,0,0,23,15,38,0,0,0,2576,2362,4938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8,1,1,2,0,0,0,19,30,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20251204,146240,28708,29682,58390,26067,26803,52870,111260,8484,8081,16565,3,4,7,46,47,93,10,204,214,1,0,1,0,86,86,0,0,0,0,0,0,0,0,0,4117,4168,8285,2211,2265,4476,47,48,95,179,164,343,6,1,7,0,0,0,2239,2490,4729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,12,0,6,6,0,0,0,27,34,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20251205,161714,30664,31443,62107,28957,28569,57526,119633,9495,8643,18138,3,6,9,20,7,27,1807,1808,3615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4433,4327,8760,2537,3061,5598,46,87,133,0,0,0,0,0,0,0,0,0,2645,2969,5614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,97,87,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20251206,162937,32872,31421,64293,27790,28042,55832,120125,9313,9137,18450,1878,1868,3746,6,1,7,32,62,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4351,4048,8399,3496,3085,6581,65,127,192,18,36,54,10,20,30,0,0,0,2601,2423,5024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,0,31,31,0,0,0,129,71,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20251207,179895,33385,33638,67023,30318,28639,58957,125980,9414,9487,18901,4729,4713,9442,5,13,18,1749,1783,3532,5,0,5,0,0,0,0,0,0,0,2,2,0,0,0,4502,4529,9031,3208,3140,6348,94,68,162,192,208,400,11,0,11,0,0,0,2922,2907,5829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,12,0,0,0,0,0,0,117,105,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20251208,159054,31690,32142,63832,28498,27474,55972,119804,9016,9506,18522,3,2,5,19,19,38,21,15,36,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4302,4363,8665,2748,3289,6037,78,58,136,11,0,11,2,0,2,0,0,0,2710,2948,5658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,1,1,2,0,0,0,43,89,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20251209,144718,30250,28470,58720,27154,23959,51113,109833,8356,8203,16559,0,0,0,74,81,155,15,68,83,0,0,0,0,0,0,0,0,0,0,0,0,25,19,44,3976,3833,7809,2593,2865,5458,55,48,103,44,23,67,0,0,0,0,0,0,2229,2302,4531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,37,38,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20251210,145184,28553,29887,58440,26211,24138,50349,108789,8093,8376,16469,0,0,0,33,29,62,16,63,79,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4375,4563,8938,2408,2646,5054,49,48,97,0,0,0,0,0,0,0,0,0,2855,2762,5617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,9,0,23,23,0,0,0,22,24,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
