日期,證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"1150401","0050","元大台灣50","130698663","9824716760","75.00","75.60","74.60","75.45","3.1000","89221"
"1150401","0051","元大中型100","103447","11220990","107.50","108.85","107.50","108.75","3.9000","1305"
"1150401","0052","富邦科技","43215978","1923849642","44.42","44.80","44.24","44.73","1.9100","20713"
"1150401","0053","元大電子","28824","4833792","163.95","168.55","163.95","168.15","7.9500","195"
"1150401","0055","元大MSCI金融","400971","13032835","31.84","32.65","31.84","32.58","0.7700","432"
"1150401","0056","元大高股息","49238283","1870694981","37.88","38.19","37.77","38.11","0.9800","23892"
"1150401","0057","富邦摩台","54327","12162382","223.55","225.35","223.55","225.35","9.9000","132"
"1150401","0061","元大寶滬深","158056","3652875","23.05","23.17","23.05","23.17","0.2100","151"
"1150401","006203","元大MSCI台灣","3343","455319","136.55","137.05","136.55","137.05","5.8000","99"
"1150401","006204","永豐臺灣加權","4690","787653","168.00","168.45","168.00","168.45","5.7500","81"
"1150401","006205","富邦上証","467729","18457743","39.35","39.62","39.31","39.62","0.4600","209"
"1150401","006206","元大上證50","103695","3780954","36.18","36.55","36.08","36.55","0.6100","144"
"1150401","006207","復華滬深","197277","6130123","30.91","31.10","30.91","31.10","0.3000","63"
"1150401","006208","富邦台50","4142690","723391259","173.85","175.55","173.30","175.30","7.2000","8501"
"1150401","00625K","富邦上証+R","1000","8450","8.45","8.45","8.45","8.45","0.0000","1"
"1150401","00631L","元大台灣50正2","195388347","4048492053","20.64","21.00","20.38","21.00","1.7400","51879"
"1150401","00632R","元大台灣50反1","198369724","2825133777","14.30","14.38","14.14","14.14","-0.6800","22227"
"1150401","00633L","富邦上証正2","3096812","144260729","46.48","46.90","46.10","46.78","0.9800","468"
"1150401","00634R","富邦上証反1","697051","2290719","3.29","3.30","3.27","3.27","-0.0500","22"
"1150401","00635U","期元大S&P黃金","9412168","465678249","49.61","49.69","49.24","49.42","1.1800","6911"
"1150401","00636","國泰中國A50","1220862","32786996","26.80","27.03","26.78","26.97","0.2100","266"
"1150401","00636K","國泰中國A50+U","200","1694","8.47","8.47","8.47","8.47","0.0900","2"
"1150401","00637L","元大滬深300正2","37174955","716871923","19.30","19.41","19.09","19.34","0.3300","2959"
