sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
基隆,基隆市,56,細懸浮微粒,普通,1,0.36,25,34,13,16,9,11.3,1.4,1.1,284,"2026/04/04 09:00:00",0.2,14.2,15,1,121.760056,25.129167,1
汐止,新北市,60,細懸浮微粒,普通,0.5,0.44,10,26,26,17,21,25.6,3.7,0.6,153,"2026/04/04 09:00:00",0.3,15.7,19,0,121.64081,25.06624,2
新店,新北市,54,細懸浮微粒,普通,0.8,0.32,34,33,7,10,7,7.8,0.7,1.6,196,"2026/04/04 09:00:00",0.2,13.6,16,0,121.537778,24.977222,4
土城,新北市,57,細懸浮微粒,普通,0.7,0.57,7,27,18,20,27,32.6,5.4,0.2,141,"2026/04/04 09:00:00",0.3,14.7,18,0,121.451861,24.982528,5
板橋,新北市,69,細懸浮微粒,普通,1.2,0.63,14,28,22,22,23,25.8,2.6,0.9,322,"2026/04/04 09:00:00",0.3,19,19,1,121.458667,25.012972,6
新莊,新北市,56,細懸浮微粒,普通,0.4,0.41,21,30,18,18,16,17.8,1.8,0.9,6,"2026/04/04 09:00:00",0.2,14.4,18,0,121.4325,25.037972,7
菜寮,新北市,56,細懸浮微粒,普通,0,0.65,20,27,15,14,20,22.1,1.5,0.9,305,"2026/04/04 09:00:00",0.4,14.2,18,0,121.481028,25.06895,8
林口,新北市,56,二氧化氮,普通,1.5,0.56,7,33,13,9,30,45.6,14.7,0.3,268,"2026/04/04 09:00:00",0.3,8.7,10,0,121.36548982,25.07798949,9
淡水,新北市,53,細懸浮微粒,普通,0.8,0.39,24,33,24,15,11,14.9,3.4,,,"2026/04/04 09:00:00",0.3,13.4,15,0,121.449239,25.1645,10
士林,臺北市,54,細懸浮微粒,普通,0.4,0.38,24,31,17,15,12,13.4,1,0.2,358,"2026/04/04 09:00:00",0.3,13.7,17,0,121.51666356,25.10334003,11
中山,臺北市,55,細懸浮微粒,普通,0.4,0.57,21,28,16,10,19,23.9,4.5,0.4,313,"2026/04/04 09:00:00",0.4,14.1,19,0,121.526528,25.062361,12
萬華,臺北市,55,細懸浮微粒,普通,0.8,0.41,20,27,13,11,19,21.1,1.7,0.8,326,"2026/04/04 09:00:00",0.3,13.8,16,0,121.507972,25.046503,13
古亭,臺北市,46,,良好,1,0.39,25,31,12,8,12,13.2,1,0.4,171,"2026/04/04 09:00:00",0.3,11.3,17,1,121.529556,25.020608,14
